1,Olivia,1.370%,10351,,,
2,Emma,1.084%,8189,,,
3,Charlotte,0.911%,6886,,,
4,Amelia,0.806%,6089,,,
5,Ava,0.799%,6040,,,
6,Sophia,0.654%,4941,,,
7,Isabella,0.651%,4921,,,
8,Mia,0.626%,4730,,,
9,Evelyn,0.614%,4639,,,
10,Harper,0.595%,4492,,,
11,Luna,0.585%,4420,,,
12,Camila,0.490%,3705,,,
13,Gianna,0.472%,3563,,,
14,Elizabeth,0.450%,3398,,,
15,Eleanor,0.440%,3323,,,
16,Ella,0.424%,3204,,,
17,Abigail,0.421%,3183,,,
18,Sofia,0.406%,3069,,,
19,Avery,0.397%,3000,,,
20,Scarlett,0.394%,2977,,,
21,Emily,0.389%,2936,,,
22,Aria,0.382%,2888,,,
23,Penelope,0.373%,2816,,,
24,Chloe,0.370%,2798,,,
25,Layla,0.350%,2645,,,
26,Mila,0.344%,2596,,,
27,Nora,0.316%,2384,,,
28,Hazel,0.313%,2362,,,
29,Madison,0.298%,2253,,,
30,Ellie,0.297%,2245,,,
31,Lily,0.293%,2216,,,
32,Nova,0.272%,2053,,,
33,Isla,0.271%,2045,,,
34,Grace,0.261%,1972,,,
35,Violet,0.257%,1945,,,
36,Aurora,0.246%,1862,,,
37,Riley,0.246%,1855,,,
38,Zoey,0.245%,1854,,,
39,Willow,0.244%,1842,,,
40,Emilia,0.243%,1839,,,
41,Stella,0.241%,1823,,,
42,Zoe,0.240%,1813,,,
43,Victoria,0.238%,1801,,,
44,Hannah,0.235%,1778,,,
45,Addison,0.228%,1725,,,
46,Leah,0.219%,1657,,,
47,Lucy,0.217%,1636,,,
48,Eliana,0.216%,1629,,,
49,Ivy,0.211%,1597,,,
50,Everly,0.211%,1596,,,
51,Lillian,0.205%,1549,,,
52,Paisley,0.202%,1529,,,
53,Elena,0.199%,1507,,,
54,Naomi,0.196%,1477,,,
55,Maya,0.195%,1473,,,
56,Natalie,0.189%,1425,,,
57,Kinsley,0.187%,1416,,,
58,Delilah,0.186%,1408,,,
59,Claire,0.185%,1397,,,
60,Audrey,0.184%,1389,,,
61,Aaliyah,0.182%,1377,,,
62,Ruby,0.179%,1351,,,
63,Brooklyn,0.175%,1321,,,
64,Alice,0.173%,1307,,,
65,Aubrey,0.170%,1282,,,
66,Autumn,0.170%,1281,,,
67,Leilani,0.164%,1242,,,
68,Savannah,0.161%,1216,,,
69,Valentina,0.161%,1213,,,
70,Kennedy,0.157%,1190,,,
71,Madelyn,0.156%,1179,,,
72,Josephine,0.156%,1177,,,
73,Bella,0.155%,1174,,,
74,Skylar,0.150%,1133,,,
75,Genesis,0.149%,1122,,,
76,Sophie,0.148%,1116,,,
77,Hailey,0.147%,1112,,,
78,Sadie,0.147%,1107,,,
79,Natalia,0.146%,1104,,,
80,Quinn,0.146%,1101,,,
81,Caroline,0.142%,1070,,,
82,Allison,0.141%,1066,,,
83,Gabriella,0.141%,1063,,,
84,Anna,0.141%,1062,,,
85,Serenity,0.140%,1057,,,
