1,SMITH,2442977,70.90%,23.11%,0.50%,0.89%,2.19%,2.40%,1.370%,13701,,,
2,JOHNSON,1932812,58.97%,34.63%,0.54%,0.94%,2.56%,2.36%,1.084%,10840,,,
3,WILLIAMS,1625252,45.75%,47.68%,0.46%,0.82%,2.81%,2.49%,0.911%,9115,,,
4,BROWN,1437026,57.95%,35.60%,0.51%,0.87%,2.55%,2.52%,0.806%,8059,,,
5,JONES,1425470,55.19%,38.48%,0.44%,1.00%,2.61%,2.29%,0.799%,7994,,,
6,GARCIA,1166120,5.38%,0.45%,1.41%,0.47%,0.26%,92.03%,0.654%,6540,,,
7,MILLER,1161437,84.11%,10.76%,0.54%,0.66%,1.77%,2.17%,0.651%,6514,,,
8,DAVIS,1116357,62.20%,31.60%,0.49%,0.82%,2.45%,2.44%,0.626%,6261,,,
9,RODRIGUEZ,1094924,4.75%,0.54%,0.57%,0.18%,0.18%,93.77%,0.614%,6141,,,
10,MARTINEZ,1060159,5.28%,0.49%,0.60%,0.51%,0.22%,92.91%,0.595%,5946,,,
11,HERNANDEZ,1043281,3.79%,0.36%,0.60%,0.19%,0.16%,94.89%,0.585%,5851,,,
12,LOPEZ,874523,4.86%,0.57%,1.02%,0.38%,0.25%,92.92%,0.490%,4904,,,
13,GONZALEZ,841025,4.03%,0.35%,0.38%,0.14%,0.13%,94.97%,0.472%,4717,,,
14,WILSON,801882,67.36%,25.99%,0.60%,1.06%,2.38%,2.61%,0.450%,4497,,,
15,ANDERSON,784404,75.17%,18.93%,0.61%,0.74%,2.11%,2.44%,0.440%,4399,,,
16,THOMAS,756142,52.63%,38.75%,2.44%,1.07%,2.58%,2.54%,0.424%,4241,,,
17,TAYLOR,751209,65.38%,28.42%,0.56%,0.76%,2.41%,2.46%,0.421%,4213,,,
18,MOORE,724374,66.41%,27.74%,0.48%,0.68%,2.34%,2.34%,0.406%,4062,,,
19,JACKSON,708099,39.89%,53.04%,0.39%,1.06%,3.12%,2.50%,0.397%,3971,,,
20,MARTIN,702625,74.80%,15.76%,0.90%,0.98%,2.02%,5.56%,0.394%,3940,,,
21,LEE,693023,35.95%,16.33%,42.22%,0.97%,2.64%,1.89%,0.389%,3887,,,
22,PEREZ,681645,4.96%,0.45%,1.17%,0.20%,0.26%,92.95%,0.382%,3823,,,
23,THOMPSON,664644,69.78%,23.57%,0.57%,1.22%,2.37%,2.49%,0.373%,3727,,,
24,WHITE,660491,65.51%,28.17%,0.49%,1.07%,2.38%,2.38%,0.370%,3704,,,
25,HARRIS,624252,51.40%,42.39%,0.47%,0.67%,2.80%,2.26%,0.350%,3501,,,
26,SANCHEZ,612752,4.98%,0.45%,0.96%,0.37%,0.24%,92.99%,0.344%,3436,,,
27,CLARK,562679,74.65%,19.02%,0.54%,1.01%,2.19%,2.58%,0.316%,3156,,,
28,RAMIREZ,557423,3.89%,0.31%,0.93%,0.20%,0.19%,94.48%,0.313%,3126,,,
29,LEWIS,531781,58.23%,34.84%,0.56%,1.20%,2.58%,2.58%,0.298%,2982,,,
30,ROBINSON,529821,48.70%,44.93%,0.46%,0.53%,2.77%,2.61%,0.297%,2971,,,
31,WALKER,523129,58.66%,35.05%,0.45%,0.87%,2.55%,2.41%,0.293%,2934,,,
32,YOUNG,484447,66.26%,24.67%,3.03%,0.79%,2.66%,2.58%,0.272%,2717,,,
33,ALLEN,482607,67.59%,26.17%,0.54%,0.86%,2.38%,2.47%,0.271%,2707,,,
34,KING,465422,70.16%,22.76%,1.23%,0.98%,2.31%,2.55%,0.261%,2610,,,
35,WRIGHT,458980,65.80%,28.23%,0.51%,0.69%,2.41%,2.36%,0.257%,2574,,,
36,SCOTT,439530,60.21%,32.92%,0.51%,1.18%,2.59%,2.58%,0.246%,2465,,,
37,TORRES,437813,5.35%,0.57%,1.43%,0.20%,0.28%,92.16%,0.246%,2455,,,
38,NGUYEN,437645,0.95%,0.12%,96.45%,0.03%,1.83%,0.63%,0.245%,2454,,,
39,HILL,434827,64.36%,29.12%,0.53%,0.97%,2.51%,2.51%,0.244%,2439,,,
40,FLORES,433969,4.87%,0.42%,2.08%,0.34%,0.36%,91.94%,0.243%,2434,,,
41,GREEN,430182,56.84%,36.97%,0.44%,0.64%,2.47%,2.64%,0.241%,2413,,,
42,ADAMS,427865,74.02%,19.90%,0.56%,0.79%,2.16%,2.57%,0.240%,2400,,,
43,NELSON,424958,77.66%,15.97%,0.67%,1.16%,2.00%,2.55%,0.238%,2383,,,
44,BAKER,419586,79.83%,14.44%,0.56%,0.87%,2.02%,2.28%,0.235%,2353,,,
45,HALL,407076,72.65%,21.59%,0.64%,0.65%,2.22%,2.25%,0.228%,2283,,,
46,RIVERA,391114,5.40%,0.95%,2.04%,0.18%,0.37%,91.06%,0.219%,2193,,,
47,CAMPBELL,386157,73.66%,20.47%,0.53%,0.71%,2.13%,2.49%,0.217%,2166,,,
48,MITCHELL,384486,61.02%,32.50%,0.48%,1.04%,2.50%,2.47%,0.216%,2156,,,
49,CARTER,376966,58.20%,35.59%,0.45%,0.78%,2.65%,2.34%,0.211%,2114,,,
50,ROBERTS,376774,77.27%,16.72%,0.61%,0.85%,2.15%,2.40%,0.211%,2113,,,
51,GOMEZ,365655,5.12%,0.75%,1.01%,0.26%,0.26%,92.60%,0.205%,2051,,,
52,PHILLIPS,360802,76.69%,17.09%,0.58%,1.03%,2.17%,2.44%,0.202%,2023,,,
53,EVANS,355593,68.39%,25.72%,0.47%,0.74%,2.30%,2.39%,0.199%,1994,,,
54,TURNER,348627,64.25%,30.13%,0.42%,0.60%,2.38%,2.23%,0.196%,1955,,,
55,DIAZ,347636,5.19%,0.65%,1.19%,0.16%,0.25%,92.56%,0.195%,1950,,,
56,PARKER,336221,69.17%,24.79%,0.54%,0.88%,2.35%,2.26%,0.189%,1886,,,
57,CRUZ,334201,5.17%,0.80%,5.19%,0.27%,0.70%,87.88%,0.187%,1874,,,
58,EDWARDS,332423,62.13%,31.63%,0.50%,0.77%,2.47%,2.50%,0.186%,1864,,,
59,COLLINS,329770,71.61%,22.43%,0.49%,0.77%,2.23%,2.47%,0.185%,1849,,,
60,REYES,327904,4.41%,0.59%,5.58%,0.24%,0.59%,88.58%,0.184%,1839,,,
61,STEWART,324957,69.17%,24.86%,0.48%,0.77%,2.24%,2.49%,0.182%,1822,,,
62,MORRIS,318884,73.59%,20.08%,0.57%,0.98%,2.24%,2.55%,0.179%,1788,,,
63,MORALES,311777,4.63%,0.57%,1.18%,0.17%,0.21%,93.23%,0.175%,1748,,,
64,MURPHY,308417,83.11%,11.53%,0.58%,0.68%,1.76%,2.34%,0.173%,1730,,,
65,COOK,302589,81.80%,12.55%,0.57%,0.92%,1.98%,2.17%,0.170%,1697,,,
66,ROGERS,302261,75.40%,18.53%,0.54%,0.82%,2.10%,2.62%,0.170%,1695,,,
