1,Liam,1.370%,9864,,
2,Noah,1.084%,7804,,
3,Oliver,0.911%,6563,,
4,Elijah,0.806%,5803,,
5,James,0.799%,5756,,
6,William,0.654%,4709,,
7,Benjamin,0.651%,4690,,
8,Lucas,0.626%,4508,,
9,Henry,0.614%,4421,,
10,Theodore,0.595%,4281,,
11,Jack,0.585%,4213,,
12,Levi,0.490%,3531,,
13,Alexander,0.472%,3396,,
14,Jackson,0.450%,3238,,
15,Mateo,0.440%,3167,,
16,Daniel,0.424%,3053,,
17,Michael,0.421%,3033,,
18,Mason,0.406%,2925,,
19,Sebastian,0.397%,2859,,
20,Ethan,0.394%,2837,,
21,Logan,0.389%,2798,,
22,Owen,0.382%,2752,,
23,Samuel,0.373%,2684,,
24,Jacob,0.370%,2667,,
25,Asher,0.350%,2521,,
26,Aiden,0.344%,2474,,
27,John,0.316%,2272,,
28,Joseph,0.313%,2251,,
29,Wyatt,0.298%,2147,,
30,David,0.297%,2139,,
31,Leo,0.293%,2112,,
32,Luke,0.272%,1956,,
33,Julian,0.271%,1949,,
34,Hudson,0.261%,1879,,
35,Grayson,0.257%,1853,,
36,Matthew,0.246%,1775,,
37,Ezra,0.246%,1768,,
38,Gabriel,0.245%,1767,,
39,Carter,0.244%,1756,,
40,Isaac,0.243%,1752,,
41,Jayden,0.241%,1737,,
42,Luca,0.240%,1728,,
43,Anthony,0.238%,1716,,
44,Dylan,0.235%,1694,,
45,Lincoln,0.228%,1644,,
46,Thomas,0.219%,1579,,
47,Maverick,0.217%,1559,,
48,Elias,0.216%,1553,,
49,Josiah,0.211%,1522,,
50,Charles,0.211%,1521,,
51,Caleb,0.205%,1476,,
52,Christopher,0.202%,1457,,
53,Ezekiel,0.199%,1436,,
54,Miles,0.196%,1408,,
55,Jaxon,0.195%,1404,,
56,Isaiah,0.189%,1358,,
57,Andrew,0.187%,1349,,
58,Joshua,0.186%,1342,,
59,Nathan,0.185%,1332,,
60,Nolan,0.184%,1324,,
61,Adrian,0.182%,1312,,
62,Cameron,0.179%,1288,,
63,Santiago,0.175%,1259,,
64,Eli,0.173%,1245,,
65,Aaron,0.170%,1222,,
66,Ryan,0.170%,1220,,
67,Angel,0.164%,1184,,
68,Cooper,0.161%,1158,,
69,Waylon,0.161%,1156,,
70,Easton,0.157%,1134,,
71,Kai,0.156%,1124,,
72,Christian,0.156%,1122,,
73,Landon,0.155%,1119,,
74,Colton,0.150%,1080,,
75,Roman,0.149%,1069,,
76,Axel,0.148%,1064,,
77,Brooks,0.147%,1059,,
78,Jonathan,0.147%,1055,,
79,Robert,0.146%,1052,,
80,Jameson,0.146%,1049,,
81,Ian,0.142%,1020,,
82,Everett,0.141%,1016,,
83,Greyson,0.141%,1013,,
84,Wesley,0.141%,1012,,
85,Jeremiah,0.140%,1007,,
86,Hunter,0.139%,1000,,
87,Leonardo,0.138%,994,,
88,Jordan,0.136%,980,,
89,Jose,0.134%,962,,
90,Bennett,0.133%,954,,
91,Silas,0.132%,950,,
92,Nicholas,0.131%,945,,
93,Parker,0.129%,930,,
94,Beau,0.129%,930,,
95,Weston,0.129%,929,,
96,Austin,0.129%,928,,
97,Connor,0.129%,926,,
98,Carson,0.129%,926,,
99,Dominic,0.128%,920,,
100,Xavier,0.127%,917,,
101,Jaxson,0.126%,908,,
102,Jace,0.125%,899,,
103,Emmett,0.124%,895,,
104,Adam,0.124%,895,,
105,Declan,0.124%,892,,
106,Rowan,0.124%,891,,
107,Micah,0.123%,885,,
108,Kayden,0.123%,884,,
109,Gael,0.122%,882,,
110,River,0.122%,881,,
111,Ryder,0.120%,867,,
112,Kingston,0.120%,867,,
113,Damian,0.119%,859,,
114,Sawyer,0.118%,849,,
115,Luka,0.117%,842,,
116,Evan,0.117%,842,,
117,Vincent,0.115%,829,,
118,Legend,0.115%,826,,
119,Myles,0.113%,815,,
120,Harrison,0.113%,812,,
121,//,0.112%,809,,
122,Bryson,0.111%,801,,
123,Amir,0.111%,797,,
124,Giovanni,0.110%,795,,
125,Chase,0.110%,791,,
126,Diego,0.110%,789,,
127,Milo,0.109%,784,,
128,Jasper,0.108%,778,,
129,Walker,0.108%,778,,
130,Jason,0.107%,770,,
131,Brayden,0.106%,763,,
132,Cole,0.106%,761,,
133,Nathaniel,0.106%,761,,
134,George,0.105%,753,,
135,Lorenzo,0.104%,750,,
136,Zion,0.104%,747,,
137,Luis,0.104%,746,,
138,Archer,0.103%,744,,
139,Enzo,0.103%,743,,
140,Jonah,0.102%,738,,
141,Thiago,0.102%,731,,
142,Theo,0.101%,730,,
143,Ayden,0.101%,729,,
144,Zachary,0.100%,716,,
145,Calvin,0.099%,716,,
146,Braxton,0.099%,714,,
147,Ashton,0.099%,712,,
148,Rhett,0.097%,702,,
149,Atlas,0.096%,690,,
150,Jude,0.095%,685,,
151,Bentley,0.095%,683,,
152,Carlos,0.095%,682,,
153,Ryker,0.094%,676,,
154,Adriel,0.094%,675,,
155,Arthur,0.093%,670,,
156,Ace,0.092%,664,,
157,Tyler,0.092%,662,,
158,Jayce,0.092%,659,,
159,Max,0.091%,658,,
160,Elliot,0.091%,656,,
161,Graham,0.091%,653,,
162,Kaiden,0.091%,653,,
163,Maxwell,0.091%,653,,
164,Juan,0.090%,648,,
165,Dean,0.090%,647,,
166,Matteo,0.090%,647,,
167,Malachi,0.089%,644,,
168,Ivan,0.089%,640,,
169,Elliott,0.089%,640,,
170,Jesus,0.089%,639,,
171,Emiliano,0.088%,633,,
172,Messiah,0.088%,632,,
173,Gavin,0.087%,629,,
174,Maddox,0.087%,625,,
175,Camden,0.086%,620,,
176,Hayden,0.086%,620,,
177,Leon,0.086%,619,,
178,Antonio,0.086%,619,,
179,Justin,0.086%,617,,
180,Tucker,0.085%,615,,
181,Brandon,0.085%,614,,
182,Kevin,0.085%,614,,
183,Judah,0.085%,609,,
